,path,Total,Total Entity,B Entity
81,"['root', 'ccomp', 'dobj', 'prep', 'pcomp', 'ccomp', 'nsubj', 'compound']",1,0,0
82,"['root', 'ccomp', 'dobj', 'prep', 'pcomp', 'ccomp', 'aux']",1,0,0
83,"['root', 'ccomp', 'dobj', 'prep', 'pcomp', 'ccomp', 'dobj']",1,0,0
84,"['root', 'nsubj', 'appos', 'compound']",5,1,1
85,"['root', 'nsubj', 'appos']",28,6,4
86,"['root', 'nsubj', 'appos', 'amod']",3,0,0
87,"['root', 'nsubj', 'appos', 'amod', 'prep', 'pobj', 'compound', 'amod']",1,0,0
88,"['root', 'nsubj', 'appos', 'amod', 'prep', 'pobj', 'compound']",1,0,0
89,"['root', 'nsubj', 'appos', 'amod', 'prep', 'pobj']",1,0,0
90,"['root', 'nsubj', 'appos', 'prep']",18,0,0
91,"['root', 'nsubj', 'appos', 'prep', 'pobj']",12,6,4
92,"['root', 'prep', 'pobj', 'det']",74,0,0
93,"['root', 'prep', 'pobj']",188,22,17
94,"['root', 'prep', 'pobj', 'compound']",45,11,10
95,"['root', 'ccomp', 'advmod']",21,0,0
96,"['root', 'appos', 'nummod']",39,1,1
97,"['root', 'ccomp', 'prep']",98,0,0
98,"['root', 'ccomp', 'prep', 'pobj']",80,10,9
99,"['root', 'ccomp', 'prep', 'pcomp']",6,0,0
100,"['root', 'ccomp', 'prep', 'pcomp', 'prep']",2,0,0
101,"['root', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj']",2,0,0
102,"['root', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj', 'prep']",1,0,0
103,"['root', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj', 'prep', 'pobj', 'prep']",1,0,0
104,"['root', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj']",1,0,0
105,"['root', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'acl']",1,0,0
106,"['root', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'xcomp', 'aux']",1,0,0
107,"['root', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'xcomp']",1,0,0
108,"['root', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'xcomp', 'dobj', 'poss']",1,0,0
109,"['root', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'xcomp', 'dobj']",1,0,0
110,"['root', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'acl', 'xcomp', 'dobj', 'advmod']",1,0,0
111,"['root', 'attr', 'det']",27,0,0
112,"['root', 'attr']",26,0,0
113,"['root', 'attr', 'amod']",17,0,0
114,"['root', 'attr', 'relcl', 'nsubj']",3,0,0
115,"['root', 'attr', 'relcl']",3,0,0
116,"['root', 'attr', 'relcl', 'ccomp', 'nsubj']",1,0,0
117,"['root', 'attr', 'relcl', 'ccomp']",1,0,0
118,"['root', 'attr', 'relcl', 'ccomp', 'nsubj', 'punct']",2,0,0
119,"['root', 'attr', 'relcl', 'ccomp', 'nsubj', 'relcl', 'nsubj']",1,0,0
120,"['root', 'attr', 'relcl', 'ccomp', 'nsubj', 'relcl']",1,0,0
121,"['root', 'attr', 'relcl', 'ccomp', 'nsubj', 'relcl', 'prep']",1,0,0
122,"['root', 'attr', 'relcl', 'ccomp', 'nsubj', 'relcl', 'prep', 'pobj']",1,0,0
123,"['root', 'attr', 'relcl', 'ccomp', 'nsubj', 'relcl', 'npadvmod']",1,0,0
124,"['root', 'attr', 'relcl', 'ccomp', 'advmod']",1,0,0
125,"['root', 'ccomp', 'nsubj', 'poss', 'punct']",1,0,0
126,"['root', 'ccomp', 'nsubj', 'punct']",13,0,0
127,"['root', 'ccomp', 'prep', 'pobj', 'prep']",10,0,0
128,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj']",12,3,2
129,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'nsubj']",3,1,1
130,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'relcl']",3,0,0
131,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'ccomp', 'nsubj', 'det']",1,0,0
132,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'ccomp', 'nsubj']",1,0,0
133,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'ccomp']",1,0,0
134,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'ccomp', 'nsubj', 'prep']",1,0,0
135,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'ccomp', 'nsubj', 'prep', 'pobj', 'compound']",1,0,0
136,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'ccomp', 'nsubj', 'prep', 'pobj']",1,0,0
137,"['root', 'nsubj', 'nummod']",9,0,0
138,"['root', 'advcl']",63,0,0
139,"['root', 'advcl', 'prep']",35,0,0
140,"['root', 'advcl', 'prep', 'pobj', 'poss', 'det']",2,0,0
141,"['root', 'advcl', 'prep', 'pobj', 'poss']",2,0,0
142,"['root', 'advcl', 'prep', 'pobj']",34,3,3
143,"['root', 'advcl', 'prep', 'pobj', 'poss', 'case']",2,0,0
144,"['root', 'ccomp', 'nsubj', 'relcl', 'nsubj']",4,0,0
145,"['root', 'ccomp', 'nsubj', 'relcl']",5,0,0
146,"['root', 'ccomp', 'nsubj', 'relcl', 'aux']",2,0,0
147,"['root', 'ccomp', 'nsubj', 'relcl', 'dobj']",2,0,0
148,"['root', 'ccomp', 'nsubj', 'relcl', 'prep']",7,0,0
149,"['root', 'ccomp', 'nsubj', 'relcl', 'prep', 'pobj', 'poss']",1,0,0
150,"['root', 'ccomp', 'nsubj', 'relcl', 'prep', 'pobj']",4,2,2
151,"['root', 'ccomp', 'xcomp']",8,0,0
152,"['root', 'ccomp', 'xcomp', 'advmod']",1,0,0
153,"['root', 'ccomp', 'xcomp', 'advmod', 'prep']",1,0,0
154,"['root', 'ccomp', 'xcomp', 'advmod', 'prep', 'pobj']",1,0,0
155,"['root', 'prep']",222,0,0
156,"['root', 'prep', 'prep']",9,0,0
157,"['root', 'prep', 'prep', 'pobj', 'det']",3,0,0
158,"['root', 'prep', 'prep', 'pobj']",9,3,2
159,"['root', 'acomp']",21,0,0
160,"['root', 'acomp', 'prep']",5,0,0
161,"['root', 'acomp', 'prep', 'pobj', 'compound']",1,0,0
162,"['root', 'acomp', 'prep', 'pobj', 'amod']",3,0,0
163,"['root', 'acomp', 'prep', 'pobj', 'cc']",1,0,0
164,"['root', 'acomp', 'prep', 'pobj', 'conj']",1,0,0
165,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl', 'mark']",1,0,0
166,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl']",1,0,0
167,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl', 'nsubj', 'det']",1,0,0
168,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl', 'nsubj']",1,0,0
169,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl', 'nsubj', 'amod']",1,0,0
170,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl', 'nsubj', 'compound']",1,1,1
171,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl', 'xcomp']",1,0,0
172,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl', 'xcomp', 'dobj', 'det']",1,0,0
173,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl', 'xcomp', 'dobj']",1,0,0
174,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl', 'xcomp', 'dobj', 'compound', 'amod']",1,0,0
175,"['root', 'acomp', 'prep', 'pobj', 'conj', 'acl', 'xcomp', 'dobj', 'compound']",1,0,0
176,"['root', 'dobj', 'nummod']",13,0,0
177,"['root', 'dobj', 'prep', 'pobj', 'det']",4,0,0
178,"['root', 'dobj', 'prep', 'pobj', 'prep']",12,0,0
179,"['root', 'dobj', 'prep', 'pobj', 'prep', 'pobj', 'quantmod']",1,0,0
180,"['root', 'dobj', 'prep', 'pobj', 'prep', 'pobj']",10,1,1
181,"['root', 'dobj', 'prep', 'pobj', 'prep', 'pobj', 'compound']",1,0,0
182,"['root', 'cc']",68,2,0
183,"['root', 'conj']",51,5,1
184,"['root', 'conj', 'ccomp', 'nsubj', 'det']",2,0,0
185,"['root', 'conj', 'ccomp', 'nsubj']",7,1,1
186,"['root', 'conj', 'ccomp']",6,0,0
187,"['root', 'conj', 'ccomp', 'dobj', 'det']",2,0,0
188,"['root', 'conj', 'ccomp', 'dobj']",4,0,0
189,"['root', 'conj', 'ccomp', 'dobj', 'amod']",3,0,0
190,"['root', 'conj', 'ccomp', 'dobj', 'prep', 'pobj']",3,0,0
191,"['root', 'conj', 'ccomp', 'prep']",2,0,0
192,"['root', 'conj', 'ccomp', 'prep', 'pcomp']",1,0,0
193,"['root', 'conj', 'ccomp', 'prep', 'pcomp', 'advmod']",1,0,0
194,"['root', 'conj', 'ccomp', 'prep', 'pcomp', 'prep']",1,0,0
195,"['root', 'conj', 'ccomp', 'prep', 'pcomp', 'prep', 'pobj']",1,0,0
196,"['root', 'punct', 'nummod']",12,0,0
197,"['root', 'nsubj', 'poss']",11,7,7
198,"['root', 'nsubj', 'poss', 'case']",11,0,0
199,"['root', 'npadvmod', 'nummod']",13,0,0
200,"['root', 'npadvmod']",32,11,8
201,"['root', 'ccomp', 'nsubj', 'compound', 'amod']",6,3,3
202,"['root', 'ccomp', 'prep', 'pobj', 'punct']",14,0,0
203,"['root', 'ccomp', 'prep', 'pobj', 'appos', 'det']",1,0,0
204,"['root', 'ccomp', 'prep', 'pobj', 'appos']",3,0,0
205,"['root', 'ccomp', 'prep', 'pobj', 'appos', 'amod']",1,0,0
206,"['root', 'ccomp', 'prep', 'pobj', 'appos', 'prep', 'pobj', 'det']",2,0,0
207,"['root', 'ccomp', 'prep', 'pobj', 'appos', 'prep', 'pobj']",1,0,0
208,"['root', 'ccomp', 'prep', 'pobj', 'appos', 'prep', 'pobj', 'nmod']",1,0,0
209,"['root', 'ccomp', 'prep', 'pobj', 'appos', 'prep', 'pobj', 'amod', 'amod']",1,1,1
210,"['root', 'ccomp', 'prep', 'pobj', 'appos', 'prep', 'pobj', 'amod']",1,1,0
211,"['root', 'nsubj', 'compound', 'amod']",4,1,1
212,"['root', 'nsubj', 'compound', 'compound']",23,13,8
213,"['root', 'nsubj', 'punct']",71,0,0
214,"['root', 'nsubj', 'relcl', 'nsubj']",6,0,0
215,"['root', 'nsubj', 'relcl']",6,0,0
216,"['root', 'nsubj', 'relcl', 'aux']",3,0,0
217,"['root', 'nsubj', 'relcl', 'advmod']",5,0,0
218,"['root', 'nsubj', 'relcl', 'dobj']",2,2,1
219,"['root', 'nsubj', 'relcl', 'dobj', 'cc']",1,0,0
220,"['root', 'nsubj', 'relcl', 'dobj', 'conj']",1,1,1
221,"['root', 'acomp', 'xcomp', 'aux']",5,0,0
222,"['root', 'acomp', 'xcomp']",3,0,0
223,"['root', 'acomp', 'xcomp', 'prep', 'pobj', 'compound']",1,1,1
224,"['root', 'acomp', 'xcomp', 'prep', 'pobj']",2,1,0
225,"['root', 'ccomp', 'prep', 'pobj', 'det']",32,0,0
226,"['root', 'ccomp', 'prep', 'pobj', 'compound']",8,4,3
227,"['root', 'ccomp', 'advcl', 'aux']",7,0,0
228,"['root', 'ccomp', 'advcl']",17,0,0
229,"['root', 'ccomp', 'advcl', 'dobj', 'det']",1,0,0
230,"['root', 'ccomp', 'advcl', 'dobj']",8,0,0
231,"['root', 'ccomp', 'advcl', 'dobj', 'prep', 'pobj', 'poss']",1,0,0
232,"['root', 'ccomp', 'advcl', 'dobj', 'prep', 'pobj']",6,0,0
233,"['root', 'ccomp', 'advcl', 'dobj', 'prep', 'pobj', 'amod']",3,0,0
234,"['root', 'ccomp', 'nsubj', 'prep', 'pobj', 'compound', 'compound']",1,1,1
235,"['root', 'ccomp', 'nsubj', 'prep', 'pobj', 'compound']",3,2,1
236,"['root', 'ccomp', 'nsubj', 'prep', 'pobj', 'prep']",4,0,0
237,"['root', 'ccomp', 'nsubj', 'prep', 'pobj', 'prep', 'pobj']",2,1,1
238,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'poss']",4,0,0
239,"['root', 'ccomp', 'dobj', 'relcl', 'nsubj']",2,0,0
240,"['root', 'ccomp', 'dobj', 'relcl']",2,0,0
241,"['root', 'ccomp', 'dobj', 'relcl', 'punct']",3,0,0
242,"['root', 'ccomp', 'dobj', 'relcl', 'advcl', 'advmod']",1,0,0
243,"['root', 'ccomp', 'dobj', 'relcl', 'advcl']",1,0,0
244,"['root', 'ccomp', 'dobj', 'relcl', 'aux']",2,0,0
245,"['root', 'ccomp', 'dobj', 'relcl', 'prep']",2,0,0
246,"['root', 'ccomp', 'dobj', 'relcl', 'prep', 'pobj', 'amod']",1,0,0
247,"['root', 'ccomp', 'dobj', 'relcl', 'prep', 'pobj']",2,0,0
248,"['root', 'ccomp', 'dobj', 'relcl', 'prep', 'pobj', 'prep', 'pobj']",1,0,0
249,"['root', 'ccomp', 'dobj', 'relcl', 'prep', 'pobj', 'prep', 'pobj', 'cc']",1,0,0
250,"['root', 'ccomp', 'dobj', 'relcl', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'nummod']",1,0,0
251,"['root', 'ccomp', 'dobj', 'relcl', 'prep', 'pobj', 'prep', 'pobj', 'conj']",1,0,0
252,"['root', 'ccomp', 'dobj', 'relcl', 'prep', 'pobj', 'relcl']",1,0,0
253,"['root', 'ccomp', 'dobj', 'relcl', 'prep', 'pobj', 'relcl', 'aux']",1,0,0
254,"['root', 'ccomp', 'dobj', 'relcl', 'prep', 'pobj', 'relcl', 'dobj']",1,0,0
255,"['root', 'ccomp', 'prep', 'pobj', 'amod']",20,1,1
256,"['root', 'ccomp', 'cc']",25,0,0
257,"['root', 'ccomp', 'conj', 'punct']",4,0,0
258,"['root', 'ccomp', 'conj']",23,0,0
259,"['root', 'ccomp', 'conj', 'prep']",9,0,0
260,"['root', 'ccomp', 'conj', 'prep', 'prep']",3,0,0
261,"['root', 'ccomp', 'conj', 'prep', 'prep', 'pobj', 'poss']",1,0,0
262,"['root', 'ccomp', 'conj', 'prep', 'prep', 'pobj']",1,0,0
263,"['root', 'ccomp', 'conj', 'aux']",5,0,0
264,"['root', 'ccomp', 'conj', 'acomp']",4,0,0
265,"['root', 'ccomp', 'conj', 'acomp', 'xcomp']",1,0,0
266,"['root', 'ccomp', 'conj', 'acomp', 'xcomp', 'prep', 'pobj']",1,1,1
267,"['root', 'ccomp', 'conj', 'acomp', 'xcomp', 'npadvmod', 'amod']",1,0,0
268,"['root', 'ccomp', 'conj', 'acomp', 'xcomp', 'npadvmod']",1,0,0
269,"['root', 'prep', 'pobj', 'compound', 'amod']",2,0,0
270,"['root', 'prep', 'pobj', 'prep']",39,0,0
271,"['root', 'prep', 'pobj', 'prep', 'pobj']",34,13,7
272,"['root', 'prep', 'pobj', 'relcl', 'advmod']",3,0,0
273,"['root', 'prep', 'pobj', 'relcl']",5,0,0
274,"['root', 'prep', 'pobj', 'relcl', 'dobj']",3,0,0
275,"['root', 'prep', 'pobj', 'relcl', 'xcomp']",1,0,0
276,"['root', 'prep', 'pobj', 'relcl', 'xcomp', 'prep', 'pobj', 'compound']",2,2,1
277,"['root', 'prep', 'pobj', 'relcl', 'xcomp', 'prep', 'pobj']",2,1,0
278,"['root', 'prep', 'pobj', 'relcl', 'xcomp', 'prep']",1,0,0
279,"['root', 'prep', 'pobj', 'relcl', 'xcomp', 'prep', 'pobj', 'det']",1,0,0
280,"['root', 'prep', 'pobj', 'punct']",30,0,0
281,"['root', 'prep', 'pobj', 'appos', 'det']",1,0,0
282,"['root', 'prep', 'pobj', 'appos']",6,4,2
283,"['root', 'prep', 'pobj', 'appos', 'relcl', 'nsubj']",1,0,0
284,"['root', 'prep', 'pobj', 'appos', 'relcl']",1,0,0
285,"['root', 'prep', 'pobj', 'appos', 'relcl', 'dobj', 'det']",1,0,0
286,"['root', 'prep', 'pobj', 'appos', 'relcl', 'dobj']",1,0,0
287,"['root', 'conj', 'aux']",8,0,0
288,"['root', 'conj', 'advmod']",10,0,0
289,"['root', 'conj', 'prep']",22,0,0
290,"['root', 'conj', 'prep', 'pobj']",26,2,1
291,"['root', 'xcomp', 'aux']",15,0,0
292,"['root', 'xcomp']",10,0,0
293,"['root', 'xcomp', 'prt']",2,0,0
294,"['root', 'xcomp', 'prep']",6,0,0
295,"['root', 'xcomp', 'prep', 'pobj']",4,0,0
296,"['root', 'xcomp', 'prep', 'pobj', 'det']",1,0,0
297,"['root', 'xcomp', 'prep', 'pobj', 'prep']",2,0,0
298,"['root', 'xcomp', 'prep', 'pobj', 'prep', 'pobj', 'nummod', 'advmod']",1,0,0
299,"['root', 'xcomp', 'prep', 'pobj', 'prep', 'pobj', 'nummod']",1,0,0
300,"['root', 'xcomp', 'prep', 'pobj', 'prep', 'pobj']",2,0,0
301,"['root', 'prep', 'pobj', 'amod']",46,8,8
302,"['root', 'ccomp', 'nsubj', 'nummod']",2,0,0
303,"['root', 'ccomp', 'nsubj', 'prep', 'pobj', 'det']",3,0,0
304,"['root', 'ccomp', 'nsubj', 'nsubj']",1,0,0
305,"['root', 'ccomp', 'nsubj', 'nsubj', 'prep', 'pobj']",1,0,0
306,"['root', 'ccomp', 'nsubj', 'amod', 'prep']",1,0,0
307,"['root', 'ccomp', 'nsubj', 'amod', 'prep', 'pobj']",1,0,0
308,"['root', 'ccomp', 'nsubj', 'amod', 'prep', 'pobj', 'cc']",1,0,0
309,"['root', 'ccomp', 'nsubj', 'amod', 'prep', 'pobj', 'conj']",1,0,0
310,"['root', 'ccomp', 'advcl', 'advmod']",7,0,0
311,"['root', 'ccomp', 'advcl', 'nsubj', 'poss']",1,0,0
312,"['root', 'ccomp', 'advcl', 'nsubj', 'amod']",2,0,0
313,"['root', 'ccomp', 'advcl', 'prep']",13,0,0
314,"['root', 'ccomp', 'advcl', 'prep', 'pobj', 'compound']",5,1,1
315,"['root', 'ccomp', 'advcl', 'prep', 'pobj']",9,1,0
316,"['root', 'ccomp', 'advcl', 'prep', 'pobj', 'prep']",2,0,0
317,"['root', 'ccomp', 'advcl', 'prep', 'pobj', 'prep', 'pobj', 'amod']",2,1,1
318,"['root', 'ccomp', 'advcl', 'prep', 'pobj', 'prep', 'pobj']",2,1,1
319,"['root', 'ccomp', 'advcl', 'advmod', 'prep', 'pobj']",1,0,0
320,"['root', 'ccomp', 'advcl', 'nsubj', 'det']",5,0,0
321,"['root', 'ccomp', 'advcl', 'nsubj', 'compound', 'compound']",1,1,1
322,"['root', 'ccomp', 'advcl', 'nsubj', 'compound']",2,1,0
323,"['root', 'ccomp', 'advcl', 'dobj', 'poss']",1,0,0
324,"['root', 'ccomp', 'advcl', 'prep', 'pobj', 'det']",4,0,0
325,"['root', 'ccomp', 'advcl', 'prep', 'pobj', 'amod']",3,0,0
326,"['root', 'nsubj', 'nmod', 'nmod']",2,2,2
327,"['root', 'nsubj', 'nmod']",8,5,3
328,"['root', 'nsubj', 'nmod', 'cc']",3,1,0
329,"['root', 'nsubj', 'nmod', 'conj', 'compound']",2,1,0
330,"['root', 'nsubj', 'nmod', 'conj']",4,1,0
331,"['root', 'nsubjpass', 'det']",12,0,0
332,"['root', 'nsubjpass', 'prep']",9,0,0
333,"['root', 'nsubjpass', 'prep', 'pobj', 'det']",5,0,0
334,"['root', 'nsubjpass', 'prep', 'pobj']",11,5,1
335,"['root', 'neg']",12,0,0
336,"['root', 'conj', 'nsubj']",18,3,2
337,"['root', 'conj', 'ccomp', 'dobj', 'prep']",2,0,0
338,"['root', 'conj', 'ccomp', 'dobj', 'cc']",1,0,0
339,"['root', 'conj', 'ccomp', 'dobj', 'conj', 'det']",1,0,0
340,"['root', 'conj', 'ccomp', 'dobj', 'conj']",1,0,0
341,"['root', 'conj', 'punct']",33,0,0
342,"['root', 'nsubjpass', 'nummod']",4,0,0
343,"['root', 'dobj', 'nummod', 'compound']",3,0,0
344,"['root', 'ccomp', 'nsubj', 'nmod']",2,2,1
345,"['root', 'ccomp', 'xcomp', 'aux']",7,0,0
346,"['root', 'ccomp', 'xcomp', 'dobj', 'nummod', 'compound']",1,0,0
347,"['root', 'ccomp', 'xcomp', 'dobj', 'nummod']",1,0,0
348,"['root', 'ccomp', 'xcomp', 'dobj']",4,0,0
349,"['root', 'ccomp', 'xcomp', 'prep']",8,0,0
350,"['root', 'ccomp', 'xcomp', 'prep', 'pobj', 'det']",7,0,0
351,"['root', 'ccomp', 'xcomp', 'prep', 'pobj']",7,1,0
352,"['root', 'ccomp', 'xcomp', 'prep', 'pobj', 'amod']",1,0,0
353,"['root', 'ccomp', 'xcomp', 'prep', 'pobj', 'nummod']",1,0,0
354,"['root', 'ccomp', 'xcomp', 'prep', 'pobj', 'compound']",4,2,2
355,"['root', 'advcl', 'mark']",28,0,0
356,"['root', 'nsubjpass', 'appos', 'compound']",1,0,0
357,"['root', 'nsubjpass', 'appos']",4,0,0
358,"['root', 'nsubjpass', 'appos', 'appos', 'nummod']",2,0,0
359,"['root', 'nsubjpass', 'appos', 'appos']",3,0,0
360,"['root', 'nsubjpass', 'appos', 'appos', 'appos', 'nummod']",2,0,0
361,"['root', 'nsubjpass', 'appos', 'appos', 'appos']",2,0,0
362,"['root', 'nsubjpass', 'appos', 'appos', 'appos', 'appos', 'nummod']",2,0,0
363,"['root', 'nsubjpass', 'appos', 'appos', 'appos', 'appos']",1,0,0
364,"['root', 'compound', 'compound', 'compound']",2,1,1
365,"['root', 'compound', 'compound']",12,4,3
366,"['root', 'nummod', 'nummod', 'nummod']",1,0,0
